household_key,drop_week,dropped_rolling,drop70_holdout,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0,sig_week_2.5,lead_2.5
909,75.0,True,True,51.0,24.0,57.0,18.0,64.0,11.0
926,66.0,True,True,54.0,12.0,54.0,12.0,69.0,-3.0
931,51.0,True,False,53.0,-2.0,53.0,-2.0,,
932,53.0,True,False,51.0,2.0,53.0,0.0,58.0,-5.0
934,,False,False,51.0,,,,,
936,,False,False,74.0,,75.0,,,
956,85.0,True,False,51.0,34.0,51.0,34.0,54.0,31.0
968,56.0,True,False,51.0,5.0,51.0,5.0,51.0,5.0
972,51.0,True,True,58.0,-7.0,58.0,-7.0,58.0,-7.0
973,,False,False,51.0,,52.0,,,
979,51.0,True,False,51.0,0.0,53.0,-2.0,53.0,-2.0
982,66.0,True,False,57.0,9.0,60.0,6.0,60.0,6.0
998,68.0,True,True,55.0,13.0,64.0,4.0,70.0,-2.0
1020,,False,False,51.0,,52.0,,,
1023,,False,False,51.0,,51.0,,,
1024,,False,False,51.0,,51.0,,51.0,
1029,,False,False,62.0,,87.0,,,
1039,53.0,True,False,57.0,-4.0,66.0,-13.0,85.0,-32.0
1040,81.0,True,False,83.0,-2.0,83.0,-2.0,83.0,-2.0
1041,,False,False,54.0,,,,,
1057,58.0,True,False,59.0,-1.0,60.0,-2.0,,
1074,,False,False,73.0,,,,,
1078,56.0,True,True,51.0,5.0,52.0,4.0,58.0,-2.0
1081,75.0,True,False,54.0,21.0,61.0,14.0,77.0,-2.0
1091,63.0,True,True,57.0,6.0,57.0,6.0,67.0,-4.0
1097,57.0,True,False,60.0,-3.0,60.0,-3.0,,
1098,,False,False,62.0,,,,,
1103,66.0,True,True,55.0,11.0,61.0,5.0,62.0,4.0
1111,,False,False,51.0,,51.0,,51.0,
1130,63.0,True,False,54.0,9.0,56.0,7.0,57.0,6.0
1134,68.0,True,False,51.0,17.0,51.0,17.0,64.0,4.0
1139,67.0,True,True,68.0,-1.0,72.0,-5.0,72.0,-5.0
1142,,False,False,54.0,,67.0,,,
1146,,False,False,56.0,,69.0,,83.0,
1159,54.0,True,True,74.0,-20.0,74.0,-20.0,74.0,-20.0
1166,,False,False,54.0,,54.0,,54.0,
1167,75.0,True,False,53.0,22.0,55.0,20.0,55.0,20.0
1169,60.0,True,False,53.0,7.0,62.0,-2.0,62.0,-2.0
1175,77.0,True,False,83.0,-6.0,83.0,-6.0,,
1179,,False,False,65.0,,,,,
1203,,False,False,,,,,,
1206,72.0,True,True,51.0,21.0,51.0,21.0,51.0,21.0
1211,,False,False,51.0,,58.0,,79.0,
1216,63.0,True,True,51.0,12.0,92.0,-29.0,98.0,-35.0
1222,59.0,True,True,51.0,8.0,52.0,7.0,52.0,7.0
1226,,False,False,76.0,,,,,
1228,,False,False,51.0,,51.0,,59.0,
1229,56.0,True,False,56.0,0.0,56.0,0.0,58.0,-2.0
1234,51.0,True,False,52.0,-1.0,91.0,-40.0,,
1236,60.0,True,True,51.0,9.0,51.0,9.0,51.0,9.0
1238,51.0,True,True,51.0,0.0,51.0,0.0,51.0,0.0
