household_key,drop_week,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0
2322,55.0,56.0,-1.0,69.0,-14.0
2328,66.0,51.0,15.0,51.0,15.0
2334,65.0,52.0,13.0,55.0,10.0
2337,82.0,65.0,17.0,81.0,1.0
2341,86.0,51.0,35.0,62.0,24.0
2351,,69.0,,,
2360,64.0,52.0,12.0,55.0,9.0
2364,,53.0,,,
2367,63.0,63.0,0.0,63.0,0.0
2374,61.0,53.0,8.0,57.0,4.0
2395,56.0,54.0,2.0,57.0,-1.0
2400,,51.0,,56.0,
2412,85.0,52.0,33.0,56.0,29.0
2421,51.0,53.0,-2.0,55.0,-4.0
2425,61.0,61.0,0.0,76.0,-15.0
2427,,65.0,,,
2437,57.0,51.0,6.0,59.0,-2.0
2445,53.0,51.0,2.0,53.0,0.0
2447,51.0,51.0,0.0,51.0,0.0
2448,51.0,53.0,-2.0,53.0,-2.0
2449,67.0,53.0,14.0,57.0,10.0
2451,97.0,51.0,46.0,53.0,44.0
2459,57.0,58.0,-1.0,58.0,-1.0
2462,75.0,54.0,21.0,69.0,6.0
2467,,56.0,,,
2479,,57.0,,,
2484,75.0,51.0,24.0,51.0,24.0
2489,84.0,51.0,33.0,51.0,33.0
2497,60.0,51.0,9.0,59.0,1.0
