household_key,alert_day,week,high_value
131,534,77,True
132,383,55,False
132,469,67,False
132,483,69,False
132,525,75,False
133,422,61,False
133,482,69,False
134,377,54,False
134,399,57,False
134,456,66,False
134,497,71,False
135,364,52,False
135,385,55,False
135,452,65,False
135,470,68,False
136,349,50,False
136,383,55,False
136,496,71,False
137,368,53,False
137,446,64,False
137,467,67,False
137,517,74,False
138,362,52,False
138,395,57,False
140,349,50,False
140,380,55,False
140,393,57,False
140,420,60,False
140,439,63,False
140,469,67,False
140,515,74,False
140,551,79,False
141,363,52,False
141,386,56,False
141,416,60,False
141,469,67,False
141,491,71,False
141,549,79,False
142,353,51,False
142,386,56,False
142,527,76,False
142,540,78,False
143,376,54,True
143,387,56,True
143,399,57,True
143,421,61,True
143,436,63,True
143,446,64,True
143,474,68,True
143,499,72,True
143,517,74,True
143,522,75,True
143,531,76,True
143,553,79,True
144,357,51,False
144,389,56,False
144,402,58,False
144,417,60,False
144,427,61,False
144,443,64,False
144,460,66,False
144,475,68,False
144,486,70,False
144,504,72,False
144,529,76,False
144,546,78,False
145,434,62,False
145,494,71,False
146,361,52,False
146,384,55,False
146,398,57,False
146,460,66,False
146,480,69,False
146,530,76,False
147,367,53,False
147,395,57,False
147,436,63,False
147,536,77,False
148,372,54,False
148,484,70,False
149,349,50,True
149,392,56,True
149,434,62,True
149,449,65,True
149,463,67,True
149,525,75,True
151,377,54,False
151,557,80,False
152,374,54,False
152,413,59,False
152,520,75,False
152,557,80,False
153,410,59,False
153,435,63,False
153,537,77,False
154,349,50,False
154,359,52,False
154,447,64,False
154,475,68,False
154,511,73,False
155,407,59,False
155,450,65,False
155,496,71,False
156,372,54,True
156,380,55,True
156,392,56,True
156,400,58,True
156,407,59,True
156,412,59,True
156,428,62,True
156,447,64,True
156,497,71,True
156,514,74,True
156,520,75,True
156,542,78,True
156,554,80,True
157,351,51,False
157,384,55,False
157,395,57,False
157,418,60,False
157,431,62,False
157,449,65,False
157,462,66,False
157,477,69,False
157,505,73,False
157,519,75,False
157,532,76,False
158,362,52,False
158,393,57,False
158,495,71,False
158,509,73,False
159,349,50,False
159,364,52,False
159,419,60,False
159,465,67,False
159,509,73,False
159,524,75,False
159,555,80,False
160,349,50,False
160,369,53,False
160,385,55,False
160,415,60,False
160,464,67,False
160,496,71,False
160,541,78,False
161,349,50,False
161,383,55,False
161,407,59,False
161,438,63,False
161,454,65,False
161,465,67,False
161,537,77,False
162,373,54,False
162,445,64,False
162,536,77,False
164,369,53,False
165,349,50,False
165,373,54,False
165,441,63,False
165,453,65,False
165,508,73,False
165,531,76,False
166,350,50,False
166,405,58,False
166,430,62,False
166,450,65,False
166,477,69,False
166,491,71,False
166,502,72,False
166,550,79,False
168,382,55,False
168,417,60,False
168,488,70,False
168,554,80,False
169,349,50,False
169,452,65,False
169,479,69,False
170,375,54,False
170,452,65,False
171,359,52,False
171,422,61,False
171,474,68,False
171,546,78,False
172,362,52,False
172,406,58,False
172,427,61,False
172,462,66,False
172,496,71,False
172,532,76,False
174,349,50,False
174,458,66,False
174,506,73,False
176,349,50,False
176,431,62,False
176,554,80,False
179,454,65,False
179,510,73,False
179,545,78,False
180,355,51,False
180,394,57,False
180,418,60,False
180,437,63,False
180,452,65,False
180,460,66,False
180,482,69,False
180,492,71,False
180,514,74,False
180,523,75,False
180,536,77,False
181,349,50,False
181,456,66,False
183,425,61,False
183,455,65,False
183,478,69,False
183,552,79,False
184,371,53,True
184,397,57,True
184,461,66,True
184,503,72,True
184,538,77,True
184,547,79,True
185,360,52,False
185,446,64,False
185,488,70,False
185,521,75,False
185,551,79,False
187,349,50,False
187,397,57,False
187,450,65,False
187,506,73,False
188,349,50,False
188,399,57,False
189,349,50,False
189,374,54,False
189,407,59,False
190,360,52,False
190,425,61,False
190,452,65,False
190,482,69,False
190,513,74,False
190,537,77,False
192,353,51,False
