household_key,widen_15,widen_20,retention
1762,True,True,1.2793655881894859
1764,False,False,2.570204481601214
1767,True,True,0.5660689138537123
1769,False,False,0.873490400660899
1770,True,True,0.3657752058468902
1775,False,False,1.2753361039215825
1776,True,False,0.1752745467206562
1778,True,True,0.6477691734598261
1788,False,False,1.3578924095110936
1795,False,False,1.1881118580690893
1803,True,False,0.6158314178354645
1804,False,False,0.9588204968430373
1807,False,False,0.528011873249845
1822,False,False,0.20639971490070397
1823,False,False,1.2820739487615564
1828,True,True,0.06570429641964289
1829,True,True,0.6625554301408207
1835,False,False,1.0870463933337866
1845,False,False,0.5526921687673375
1848,True,True,0.514744272671086
1850,True,True,0.7649537506924842
1852,True,True,0.23987780053172808
1854,False,False,1.0649165066932003
1864,False,False,0.9732115074734679
1865,False,False,0.703881102941382
1892,True,True,0.3717492899897437
1899,False,False,1.2696751866742402
1900,False,False,2.1607182267950753
1901,False,False,0.5685210992250083
1906,True,True,1.5693032913927085
1907,False,False,1.248480332007786
1917,False,False,1.0113777569663942
1935,False,False,1.080774272577079
1943,False,False,0.48694674041334907
1944,False,False,1.5838244225842852
1947,True,True,1.270429715540295
1955,False,False,1.3215972577471944
1971,False,False,0.1915415242576159
1975,True,False,1.009354018593909
1985,False,False,1.759987187272575
1995,False,False,1.6250853923516937
2004,True,False,1.246015860393102
2007,False,False,1.4121249410106544
2012,False,False,1.6567930657613466
2015,False,False,1.3143154867368128
2019,True,True,1.7316710588238944
2020,False,False,0.8986282452411021
2022,False,False,1.286769166586369
2062,True,True,0.1442751470970965
2076,True,True,0.7203384284309137
2079,True,True,0.35121968022332856
2080,True,True,0.3924371561031553
2083,False,False,1.1809356493018035
2085,False,False,1.341189036685466
2087,False,False,1.2042906276395473
2097,False,False,0.27995664181643115
2110,False,False,1.436333347149234
2115,True,False,0.9394380848839909
2116,True,False,0.842582363725768
2129,False,False,0.9522619130285265
2131,True,True,0.493208505416721
2133,True,False,1.1296024492084948
2134,True,False,1.0299003612178557
2142,True,False,1.230408147240889
2162,False,False,1.600683278902405
2168,True,False,0.9327082477833035
2170,False,False,0.7342241656350977
2184,True,True,0.4529305759558799
2185,True,False,0.48441099647884583
2190,False,False,0.77241570749784
2193,False,False,0.5210894506259026
2194,False,False,0.9733355074197039
2199,False,False,0.4799886379775601
2200,False,False,1.220074923383373
2207,False,False,0.5412727989319401
2208,True,True,0.4549352268393234
2209,False,False,1.0725289860642826
2226,False,False,0.7676621745979753
2227,False,False,0.23143786021314333
2233,True,True,0.930333738843936
2234,False,False,1.3793203053851615
2260,True,False,0.3555914118336005
2261,True,True,0.9773058823248524
2264,False,False,0.9681114841932132
2266,False,False,1.1010086110757253
2277,True,True,0.16366527632100888
2280,False,False,1.1441155500271603
2284,False,False,1.0297654112440984
2294,True,True,0.11084820036427451
2295,False,False,0.41685866502705254
2296,True,False,1.1795344745351937
2301,True,True,0.4757243002857037
2305,False,False,0.9156826281405119
2307,False,False,0.8039785801925832
2312,False,False,1.0142097718431784
2314,True,False,0.8599414531014947
2317,False,False,1.3549934401751222
2318,True,True,0.04960981440976702
2322,False,False,0.735631703543502
2328,True,False,1.0302784755422303
2334,False,False,1.0944324198641504
2337,False,False,0.27157700303986615
2341,True,False,0.4214787731412674
2351,False,False,1.2270846494058438
2360,False,False,0.7799556397095596
2364,False,False,0.8930560298573511
2367,True,True,0.12459396278728409
2374,False,False,1.1476009534823346
2395,False,False,0.7790936716734184
2400,False,False,1.5188231195870592
2412,False,False,0.7898327449820095
2421,False,False,1.171727440533422
2425,True,True,0.3349149695183725
2427,False,False,1.1889665434953551
2437,False,False,1.1012281822655339
2445,True,True,0.8669212687065697
2447,True,True,0.3582511869754679
2448,False,False,0.8346784101954673
2449,True,True,0.7543493838754566
2451,True,False,1.0867112302253554
2459,False,False,0.40809309407679684
2462,False,False,1.1796846008062019
2467,True,False,1.2300128992256056
2479,False,False,1.0613030134985846
2484,True,True,1.428112860613651
2489,False,False,0.34294495203450925
2497,False,False,0.8468106369120296
