household_key,median_gap,recent3_mean_gap,open_gap,widening
800,1.0,1.6666666666666667,0,True
804,3.0,5.666666666666667,0,True
806,4.0,6.666666666666667,0,True
820,1.0,4.333333333333333,2,True
825,3.0,3.6666666666666665,0,False
831,4.0,2.3333333333333335,3,False
840,3.0,2.6666666666666665,3,False
844,3.0,4.333333333333333,9,False
845,4.5,16.666666666666668,0,True
849,6.0,17.333333333333332,2,True
853,1.0,1.0,7,False
855,2.5,1.0,0,False
859,2.5,6.333333333333333,0,True
864,6.0,8.0,1,False
868,4.0,6.0,3,True
871,3.0,4.0,4,False
878,3.0,6.0,3,True
882,2.0,1.3333333333333333,3,False
883,2.0,1.3333333333333333,0,False
886,2.0,2.6666666666666665,8,False
888,7.0,11.333333333333334,7,True
889,4.0,4.666666666666667,7,False
891,6.5,7.666666666666667,4,False
895,4.0,7.333333333333333,8,True
898,2.0,2.6666666666666665,1,False
900,1.0,1.0,0,False
906,2.0,2.3333333333333335,3,False
908,2.0,2.3333333333333335,2,False
909,1.0,14.333333333333334,8,True
926,3.0,8.0,1,True
931,13.0,22.0,37,True
932,3.0,12.333333333333334,14,True
934,4.0,4.0,1,False
936,2.0,4.333333333333333,1,True
956,1.0,1.6666666666666667,0,True
968,3.0,7.0,7,True
972,3.0,1.3333333333333333,2,False
973,8.0,10.666666666666666,5,False
979,4.0,4.333333333333333,6,False
982,2.0,4.333333333333333,0,True
998,2.0,4.0,2,True
1020,4.0,3.0,1,False
1023,2.0,2.0,1,False
1024,5.0,4.666666666666667,6,False
1029,3.0,2.6666666666666665,1,False
1039,6.5,5.0,0,False
1040,3.0,6.0,1,True
1041,4.0,2.0,0,False
1057,4.0,2.6666666666666665,1,False
1074,5.0,3.3333333333333335,6,False
1078,2.0,4.0,9,True
1081,3.0,11.0,6,True
1091,4.0,51.333333333333336,39,True
1097,6.5,7.0,0,False
1098,2.0,2.6666666666666665,1,False
1103,3.0,3.0,0,False
1111,1.0,4.666666666666667,0,True
1130,2.0,2.3333333333333335,0,False
1134,4.5,6.666666666666667,16,False
1139,5.5,11.333333333333334,0,True
1142,3.0,3.0,0,False
1146,2.0,3.3333333333333335,1,True
1159,2.0,2.6666666666666665,0,False
1166,2.0,6.0,1,True
1167,3.0,2.0,5,False
1169,4.0,13.0,0,True
1175,7.0,7.0,0,False
1179,5.0,3.3333333333333335,0,False
1203,6.0,4.0,2,False
1206,1.0,2.0,5,True
1211,5.0,4.333333333333333,4,False
1216,4.0,6.666666666666667,0,True
1222,2.0,6.0,7,True
1226,8.0,5.333333333333333,4,False
1228,1.0,1.3333333333333333,0,False
1229,2.0,3.3333333333333335,0,True
1234,6.0,4.666666666666667,2,False
1236,2.0,4.333333333333333,5,True
1238,7.5,11.666666666666666,1,True
1240,3.0,2.6666666666666665,1,False
1246,6.0,7.0,9,False
1247,6.0,3.6666666666666665,2,False
1248,4.0,4.666666666666667,3,False
1260,4.5,4.666666666666667,5,False
1263,3.0,32.0,23,True
1264,6.0,10.0,4,True
1272,2.0,2.3333333333333335,1,False
1274,2.0,4.0,1,True
1277,2.0,7.333333333333333,9,True
1282,3.0,3.0,13,False
1305,1.0,8.0,24,True
1312,3.0,16.0,2,True
1314,2.0,2.6666666666666665,0,False
1318,8.0,6.666666666666667,8,False
1333,5.0,7.333333333333333,0,False
1336,4.0,3.6666666666666665,8,False
1337,3.0,2.6666666666666665,3,False
1349,3.0,31.333333333333332,4,True
1352,5.0,7.0,2,False
1367,3.0,1.3333333333333333,0,False
1370,7.0,7.0,0,False
1376,4.0,4.0,1,False
1378,5.0,7.0,0,False
1379,1.0,1.0,0,False
1385,3.0,9.333333333333334,12,True
1388,4.5,11.0,11,True
1391,6.5,4.333333333333333,11,False
1396,2.0,5.333333333333333,85,True
1419,1.0,1.6666666666666667,0,True
1430,4.0,2.6666666666666665,0,False
1437,4.0,17.333333333333332,15,True
1453,1.0,1.6666666666666667,1,True
1461,2.0,2.3333333333333335,4,False
1475,2.0,4.333333333333333,0,True
1476,2.0,2.3333333333333335,0,False
1479,1.0,2.3333333333333335,0,True
1489,2.0,2.6666666666666665,0,False
1491,2.0,2.0,1,False
1501,4.0,4.666666666666667,7,False
1505,4.0,4.666666666666667,49,False
1510,1.0,1.3333333333333333,0,False
1515,5.0,8.333333333333334,2,True
1527,3.0,2.6666666666666665,4,False
1528,3.0,3.6666666666666665,2,False
1529,3.0,2.6666666666666665,11,False
1535,3.0,3.0,2,False
1536,5.0,6.333333333333333,0,False
1541,6.0,5.0,0,False
1548,3.0,2.0,6,False
1557,4.0,3.0,0,False
1563,4.0,2.3333333333333335,7,False
1579,1.0,1.6666666666666667,9,True
1584,2.0,1.6666666666666667,0,False
1585,4.0,5.666666666666667,0,False
1588,2.0,2.0,1,False
1590,3.0,5.0,1,True
1595,4.5,5.666666666666667,4,False
1598,4.0,3.3333333333333335,0,False
1602,4.0,4.0,14,False
1609,3.0,2.0,4,False
1612,6.0,6.0,7,False
1613,6.0,4.666666666666667,3,False
1620,2.0,4.666666666666667,6,True
1630,3.0,2.6666666666666665,0,False
1631,2.0,1.3333333333333333,0,False
1633,3.0,1.6666666666666667,0,False
