household_key,base_8w_avg_cats,eval_end_8w_cats,cat_ratio,cat_fire,widen_15,drop70
2022,76.4074074074074,85,1.1124575860397479,False,False,False
2062,83.62962962962963,38,0.45438441098317095,True,True,True
2076,78.25925925925925,43,0.5494557501183153,True,True,False
2079,59.7037037037037,12,0.20099255583126552,True,True,True
2080,71.33333333333333,63,0.883177570093458,False,True,True
2083,77.44444444444444,82,1.0588235294117647,False,False,False
2085,89.22222222222223,122,1.3673723536737235,False,False,False
2087,75.0,76,1.0133333333333334,False,False,False
2097,52.2962962962963,39,0.7457507082152974,False,False,True
2110,85.18518518518519,97,1.1386956521739129,False,False,False
2115,99.92592592592592,83,0.8306152705707932,False,True,False
2116,108.51851851851852,113,1.041296928327645,False,True,False
2129,76.37037037037037,74,0.9689621726479147,False,False,False
2131,65.4074074074074,59,0.9020385050962628,False,True,True
2133,62.96296296296296,73,1.1594117647058824,False,True,False
2134,75.44444444444444,96,1.272459499263623,False,True,False
2142,59.77777777777778,49,0.8197026022304833,False,True,False
2162,56.55555555555556,68,1.2023575638506876,False,False,False
2168,71.44444444444444,61,0.8538102643856921,False,True,False
2170,67.14814814814815,40,0.5956977385548814,True,False,False
2184,72.85185185185185,21,0.28825622775800713,True,True,True
2185,67.96296296296296,66,0.9711171662125341,False,True,True
2190,89.66666666666667,94,1.0483271375464684,False,False,False
2193,98.55555555555556,72,0.7305524239007891,False,False,True
2194,75.48148148148148,67,0.8876349362119725,False,False,False
2199,68.4074074074074,60,0.8770979967514889,False,False,True
2200,83.44444444444444,81,0.9707057256990679,False,False,False
2207,76.03703703703704,57,0.7496346809547004,False,False,True
2208,100.48148148148148,28,0.27865831183192036,True,True,True
2209,95.4074074074074,81,0.8489906832298136,False,False,False
2226,64.55555555555556,99,1.533562822719449,False,False,False
2227,90.74074074074075,77,0.8485714285714285,False,False,True
2233,99.96296296296296,89,0.8903297517599111,False,True,False
2234,60.7037037037037,77,1.2684563758389262,False,False,False
2260,56.25925925925926,32,0.5687952600394997,True,True,True
2261,90.62962962962963,93,1.0261544748671843,False,True,False
2264,127.48148148148148,119,0.9334689134224288,False,False,False
2266,75.51851851851852,75,0.9931338891613536,False,False,False
2277,50.55555555555556,23,0.45494505494505494,True,True,True
2280,85.70370370370371,96,1.1201382886776143,False,False,False
2284,127.11111111111111,114,0.8968531468531469,False,False,False
2294,106.18518518518519,40,0.3767003836763167,True,True,True
2295,86.37037037037037,40,0.4631217838765009,True,False,True
2296,104.07407407407408,120,1.1530249110320285,False,True,False
2301,59.18518518518518,16,0.27033792240300375,True,True,True
2305,69.07407407407408,68,0.9844504021447721,False,False,False
2307,55.55555555555556,26,0.46799999999999997,True,False,False
2312,104.77777777777777,113,1.07847295864263,False,False,False
2314,60.370370370370374,39,0.6460122699386502,True,True,False
2317,81.0,92,1.1358024691358024,False,False,False
2318,97.62962962962963,31,0.3175265553869499,True,True,True
2322,140.85185185185185,127,0.901656586905075,False,False,False
2328,97.81481481481481,72,0.7360848163574404,False,True,False
2334,97.25925925925925,107,1.1001523229246002,False,False,False
2337,113.25925925925925,104,0.9182472204054939,False,False,True
2341,65.88888888888889,81,1.2293423271500843,False,True,True
2351,114.55555555555556,134,1.1697381183317168,False,False,False
2360,93.85185185185185,61,0.6499605367008682,True,False,False
2364,77.22222222222223,69,0.893525179856115,False,False,False
2367,67.81481481481481,57,0.8405243036592027,False,True,True
2374,56.111111111111114,70,1.2475247524752475,False,False,False
2395,69.70370370370371,72,1.032943676939426,False,False,False
2400,69.44444444444444,75,1.08,False,False,False
2412,99.48148148148148,86,0.8644825018615041,False,False,False
2421,87.44444444444444,85,0.9720457433290979,False,False,False
2425,63.74074074074074,13,0.20395119116792562,True,True,True
2427,68.22222222222223,74,1.0846905537459282,False,False,False
2437,63.51851851851852,69,1.0862973760932944,False,False,False
2445,64.5925925925926,51,0.7895642201834862,False,True,False
2447,66.18518518518519,58,0.8763290430889759,False,True,True
2448,81.77777777777777,75,0.9171195652173914,False,False,False
2449,102.37037037037037,94,0.9182344428364689,False,True,False
2451,78.44444444444444,95,1.2110481586402266,False,True,False
2459,134.55555555555554,116,0.8620974401321223,False,False,True
2462,86.66666666666667,65,0.75,False,False,False
2467,91.33333333333333,108,1.1824817518248176,False,True,False
2479,104.66666666666667,119,1.1369426751592355,False,False,False
2484,73.51851851851852,8,0.10881612090680101,True,True,False
2489,99.51851851851852,115,1.155563825828061,False,False,True
2497,69.92592592592592,60,0.8580508474576272,False,False,False
