household_key,base_visits,base_spend,median_gap,p90_gap,gap_iqr,high_value,churned
1117,66,1629.7,3.0,6.0,2.0,False,False
1119,28,1080.6100000000001,7.0,15.0,7.0,False,False
1120,36,921.4100000000002,6.0,12.600000000000001,8.0,False,False
1121,27,891.0000000000001,6.0,23.0,9.5,False,False
1122,49,875.7300000000001,4.0,10.0,4.25,False,True
1123,16,984.02,14.0,23.599999999999998,11.0,False,False
1124,26,431.01000000000005,5.0,18.6,6.0,False,False
1126,10,873.24,16.0,30.000000000000007,9.0,False,False
1128,72,1158.89,3.0,6.0,1.0,False,False
1129,19,873.8900000000001,9.0,20.800000000000004,7.5,False,False
1130,84,2147.18,2.0,5.799999999999997,3.0,True,False
1131,15,469.05000000000007,4.5,38.50000000000001,10.75,False,False
1132,18,984.1100000000001,8.0,25.200000000000003,19.0,False,False
1133,29,395.34999999999997,6.0,20.900000000000002,6.25,False,False
1134,19,1938.7700000000002,4.5,19.3,11.75,True,False
1135,18,235.19,4.0,18.8,12.0,False,False
1136,11,648.7199999999999,20.5,30.2,15.5,False,False
1137,45,696.15,5.0,9.0,4.0,False,False
1138,59,1480.4399999999998,3.0,8.0,3.0,False,False
1139,39,2815.53,5.5,9.0,3.0,True,False
1141,27,266.64,7.5,15.0,8.5,False,False
1142,69,3862.4199999999996,3.0,6.0,2.25,True,False
1144,13,78.88,18.0,32.8,26.75,False,False
1145,22,1671.8799999999999,5.0,23.0,14.0,False,False
1146,88,2946.84,2.0,5.0,3.0,True,False
1147,13,1305.85,15.0,38.1,24.25,False,False
1151,19,566.81,6.5,26.500000000000004,14.25,False,False
1152,29,685.17,1.0,11.3,1.25,False,False
1153,28,700.46,7.0,16.800000000000004,6.5,False,False
1154,53,1677.0600000000004,3.5,7.899999999999999,3.0,False,False
1156,9,225.06000000000003,19.0,37.3,14.0,False,False
1157,40,1304.8799999999999,5.0,12.200000000000003,5.0,False,False
1158,58,1084.09,3.0,7.399999999999999,3.0,False,False
1159,118,2420.9000000000005,2.0,4.0,2.0,True,False
1160,32,1426.51,5.0,14.0,5.0,False,False
1161,13,291.42,8.5,29.6,10.75,False,False
1162,21,258.11,6.5,23.80000000000001,10.5,False,True
1163,55,1644.2500000000002,3.0,8.0,4.0,False,False
1164,30,1294.1,6.0,16.599999999999998,7.0,False,False
1165,17,467.6700000000001,10.0,24.0,15.75,False,False
1166,106,3655.09,2.0,4.0,2.0,True,False
1167,47,2529.32,3.0,12.5,5.0,True,False
1168,26,303.17999999999995,9.0,18.20000000000001,6.0,False,False
