segment_type,segment_value,promo_group,pair_weeks,products,stores,product_store_pairs,avg_weekly_sales,median_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate,avg_store_sales_share_rate,avg_category_sales_share_rate,none_avg_sales,none_incidence,none_sales_per_visitor,none_buyer_penetration,none_basket_share,none_category_sales_share,raw_sales_lift_vs_none_pct,incidence_diff_pp,sales_per_visitor_lift_pct,buyer_penetration_lift_pct,basket_share_lift_pct,category_sales_share_lift_pct
commodity_top30,CHEESE,mailer_only,22897,155,106,1639,0.509459317814561,0.0,0.21644756955059616,0.24361270035375812,0.02835859354998515,0.013520436233828533,0.008070384758317603,0.00056284512785148,0.024234496319205566,0.5352941176470589,0.20392156862745098,0.03187388791606858,0.013197853280214668,0.007509391158725359,0.02677472235565919,-4.8262812873897225,1.252600092314518,-11.028759263193821,2.4442077568589182,7.470560365475309,-9.487403838257592
commodity_top30,CHEESE,both,11023,99,103,1268,1.0346557198584785,0.0,0.3714052435816021,0.4737367322870362,0.06042350892170682,0.027617107694597968,0.016452330265152824,0.0011327689110873368,0.04960392279929542,0.5352941176470589,0.20392156862745098,0.03187388791606858,0.013197853280214668,0.007509391158725359,0.02677472235565919,93.28733228125418,16.748367495415113,89.57056346817838,109.25454396435575,119.09006892038683,85.2640043858792
commodity_top30,CHICKEN,mailer_only,10659,24,104,431,2.587634862557462,0.0,0.3496575663758326,0.462426118772868,0.1470318343375824,0.02596734307910627,0.015448885949040082,0.002831030621845056,0.2085538937788689,,,,,,,,,,,,
commodity_top30,COLD CEREAL,none,232,26,39,75,0.6965517241379311,0.0,0.2629310344827586,0.30603448275862066,0.037888457929725325,0.016220556257052092,0.009990184523450279,0.0008071133388568929,0.06670504512645216,0.6965517241379311,0.2629310344827586,0.037888457929725325,0.016220556257052092,0.009990184523450279,0.06670504512645216,0.0,0.0,0.0,0.0,0.0,0.0
commodity_top30,COLD CEREAL,display_only,920,89,80,333,0.7051195652173914,0.0,0.2510869565217391,0.27391304347826084,0.037297485357847805,0.014374031450178439,0.00861548361270811,0.0007326402815562521,0.04988038720234324,0.6965517241379311,0.2629310344827586,0.037888457929725325,0.016220556257052092,0.009990184523450279,0.06670504512645216,1.2300365906155797,-1.1844077961019495,-1.5597693972492666,-11.383856247660152,-13.760515709347409,-25.222466894692253
commodity_top30,COLD CEREAL,mailer_only,2378,140,93,600,0.6297350714886459,0.0,0.2220353238015139,0.2375946173254836,0.03254201615462405,0.012109220048283144,0.007151411544454187,0.0006222660591332669,0.0436712514918715,0.6965517241379311,0.2629310344827586,0.037888457929725325,0.016220556257052092,0.009990184523450279,0.06670504512645216,-9.592489736778564,-4.089571068124473,-14.111003897328677,-25.346456333650657,-28.41562107619283,-34.530811861255316
commodity_top30,COLD CEREAL,both,1834,99,86,471,0.9293020719738275,0.0,0.33751363140676116,0.37295528898582336,0.04772654687168596,0.01919806874817399,0.011276064269863707,0.0009347034867669861,0.06363010376018347,0.6965517241379311,0.2629310344827586,0.037888457929725325,0.016220556257052092,0.009990184523450279,0.06670504512645216,33.41465389723266,7.458259692400254,25.96592598254621,18.35641419404088,12.871431387428744,-4.609758318039592
commodity_top30,CRACKERS/MISC BKD FD,none,750,28,72,147,0.47258666666666665,0.0,0.28,0.31733333333333336,0.026015757871934775,0.018283903178233904,0.010669260984918862,0.0004963456987873685,0.08061028699247423,0.47258666666666665,0.28,0.026015757871934775,0.018283903178233904,0.010669260984918862,0.08061028699247423,0.0,0.0,0.0,0.0,0.0,0.0
commodity_top30,CRACKERS/MISC BKD FD,display_only,6878,64,98,529,0.5153678394882232,0.0,0.22782785693515556,0.25806920616458273,0.02957151155969678,0.014945328962519171,0.008672496414756137,0.0005663907238545597,0.07429284464654486,0.47258666666666665,0.28,0.026015757871934775,0.018283903178233904,0.010669260984918862,0.08061028699247423,9.052556036611946,-5.217214306484447,13.667692116699293,-18.259636266774493,-18.715116004615282,-7.83701755896139
commodity_top30,CRACKERS/MISC BKD FD,mailer_only,3313,65,98,506,0.5075188650769694,0.0,0.22638092363416842,0.24992453969212194,0.02873022676327414,0.014037547667914891,0.008182297734965803,0.0005395436459875203,0.06777459873514113,0.47258666666666665,0.28,0.026015757871934775,0.018283903178233904,0.010669260984918862,0.08061028699247423,7.391702067409733,-5.36190763658316,10.43394124707655,-23.224556971916655,-23.3096111667754,-15.923139262029217
