WEEK_NO,promo_group,pair_weeks,products,stores,total_sales,avg_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate
39,display_only,1610,540,82,1150.1699999999998,0.7143913043478259,0.22981366459627328,0.2677018633540373,0.04037135431053826,0.015787142212657475,0.009641864628518355
39,mailer_only,4085,537,84,3632.56,0.8892435740514075,0.2690330477356181,0.35201958384332926,0.05020698631120115,0.02001271189580681,0.012198771692897178
39,both,1538,224,82,1860.8599999999997,1.2099219765929776,0.32184655396618983,0.4304291287386216,0.06967691311448784,0.024916933878777383,0.014868917782690935
40,none,107,62,38,22.83,0.2133644859813084,0.11214953271028037,0.11214953271028037,0.012651760668321967,0.006408293008073107,0.0035551757725408605
40,display_only,1725,587,74,1618.1,0.9380289855072463,0.25333333333333335,0.3171014492753623,0.05165348176363869,0.017942638784067464,0.010386306224113517
40,mailer_only,3294,463,79,2437.16,0.7398785670916818,0.22374013357619915,0.27200971463266543,0.041591133455312033,0.015335847468548788,0.009167559273602896
40,both,1261,189,74,1439.2499999999995,1.1413560666137983,0.36399682791435367,0.48770816812053924,0.06901202792885852,0.02873125303599551,0.017041031153756513
41,none,192,75,50,72.82,0.3792708333333333,0.171875,0.203125,0.02124538247442447,0.011729364375573694,0.006969451169769599
41,display_only,2177,634,86,1802.020000000001,0.8277537896187418,0.23702342673403767,0.2847955902618282,0.045484107759148566,0.016126645628055533,0.009171673183883603
41,mailer_only,4132,562,88,3694.939999999999,0.8942255566311711,0.24031945788964182,0.2807357212003872,0.052550869083406455,0.016350013312614518,0.009380438370918398
41,both,1780,249,86,1774.2799999999988,0.9967865168539319,0.3556179775280899,0.44269662921348313,0.05776754640997673,0.025394767857334546,0.014902819065810497
42,none,200,79,50,128.74,0.6437,0.245,0.285,0.036297717804277194,0.016565678474691523,0.009909225651950324
42,display_only,2282,692,84,1940.9000000000008,0.8505258545135849,0.26205083260297984,0.30762489044697633,0.05123774486697071,0.018961760855706486,0.011623531417810879
42,mailer_only,2847,500,89,3877.5199999999995,1.3619669827889005,0.3621355813136635,0.5086055497014401,0.07858194692813325,0.029027028027583387,0.0182828995795448
42,both,1242,206,84,1494.58,1.203365539452496,0.37922705314009664,0.5144927536231884,0.07262563295695953,0.030397073394935456,0.01878848556352071
43,none,139,62,45,64.5,0.46402877697841727,0.2014388489208633,0.2302158273381295,0.027517550626123967,0.013490133069653888,0.008260319985316468
43,display_only,1915,643,84,1627.7599999999998,0.8500052219321148,0.24595300261096606,0.3023498694516971,0.05023742349877565,0.018170305205012807,0.011101446069748265
43,mailer_only,4646,612,88,3282.9100000000008,0.7066099870856652,0.2356866121394748,0.27270770555316404,0.040902129064241496,0.01569881689744822,0.0095250938282221
43,both,1786,269,84,1562.67,0.8749552071668534,0.2894736842105263,0.34546472564389696,0.052682063546453155,0.02080505526204484,0.012462088251600244
44,none,239,97,52,156.57,0.6551046025104602,0.28451882845188287,0.3179916317991632,0.02998025321299466,0.015253750513200043,0.008576646453090735
44,display_only,2682,717,87,1993.7600000000007,0.7433855331841912,0.25093214019388516,0.30089485458612975,0.041904706224241424,0.0177634566133663,0.01020347910426985
44,mailer_only,2861,461,87,3586.2999999999993,1.2535127577770009,0.3121286263544215,0.4432016777350577,0.0726758217859509,0.0260058266492236,0.015719673339509518
44,both,1259,230,87,1214.46,0.9646227164416203,0.329626687847498,0.40587768069896746,0.05641249040093644,0.023606237029645986,0.013619394146155503
45,none,112,53,47,47.55,0.4245535714285714,0.16964285714285715,0.20535714285714285,0.019998599537502403,0.011021434291419916,0.006780244251872423
45,display_only,2697,716,83,1745.63,0.6472487949573601,0.21764923989618093,0.25806451612903225,0.03637744666945445,0.014723905442178572,0.00897008983823929
45,mailer_only,3191,547,83,3081.05,0.9655437167032279,0.2469445314948292,0.29238483234095897,0.05682736923435926,0.016894584334864786,0.0104175067788432
45,both,1487,248,83,1899.3500000000004,1.277303295225286,0.3261600537995965,0.4129119031607263,0.074975236798273,0.024330549391711427,0.015354696641445953
46,none,142,67,44,70.82,0.49873239436619715,0.2605633802816901,0.3028169014084507,0.025714706268237204,0.01641446815731689,0.009965354165551651
46,display_only,2424,715,87,1982.9800000000005,0.8180610561056108,0.2623762376237624,0.31064356435643564,0.04553053184660988,0.017313447448192427,0.009646616049756187
46,mailer_only,3344,531,89,4088.09,1.22251495215311,0.3035287081339713,0.37948564593301437,0.07269815230570084,0.0219821506869294,0.01309306939953816
46,both,1702,225,87,2945.26,1.730470035252644,0.3836662749706228,0.5246768507638073,0.09719809077536433,0.029201673949552167,0.01690108286457652
47,none,107,76,33,73.03,0.6825233644859813,0.27102803738317754,0.32710280373831774,0.02947361678363838,0.014668884958508346,0.009557666601314957
47,display_only,2544,730,83,1794.0700000000002,0.7052161949685535,0.2169811320754717,0.25275157232704404,0.03950209206669577,0.014563324286438547,0.008616366862129904
47,mailer_only,2976,402,86,4345.169999999996,1.4600705645161278,0.3521505376344086,0.5745967741935484,0.08727266139060746,0.033801987158650675,0.0208523911215268
47,both,890,152,82,1141.5600000000002,1.2826516853932586,0.3539325842696629,0.4898876404494382,0.07084016996234718,0.02775469020931306,0.017009524631793525
