household_key,baseline_visit_days,baseline_sales,baseline_commodities,high_value_cutoff,baseline_weekly_sales,baseline_weekly_visits,normal_gap_days,recent_three_gap_days,gap_ratio,normal_4week_commodities,normal_8week_commodities,recent_8week_commodities,category_ratio,is_stage1_monitor,is_stage2_target,holdout_returned
1236,86,2230.490000000003,95,1938.548,65.60264705882362,2.5294117647058822,2.0,6.0,3.0,39.70967741935484,55.148148148148145,36,0.6527871054398926,1,1,1
1246,31,2176.7000000000035,114,1938.548,64.02058823529421,0.9117647058823529,6.0,9.333333333333334,1.5555555555555556,35.096774193548384,53.851851851851855,32,0.594222833562586,1,1,1
1263,56,2980.1399999999885,139,1938.548,87.6511764705879,1.6470588235294117,3.0,5.0,1.6666666666666667,47.32258064516129,72.70370370370371,22,0.30259806418746815,1,1,1
1305,116,3567.579999999997,109,1938.548,104.92882352941169,3.411764705882353,1.0,2.3333333333333335,2.3333333333333335,35.774193548387096,52.111111111111114,22,0.42217484008528783,1,1,1
1312,61,3038.3999999999905,145,1938.548,89.36470588235267,1.7941176470588236,3.0,13.666666666666666,4.555555555555555,56.516129032258064,82.51851851851852,42,0.5089766606822262,1,1,1
1437,48,1975.280000000004,130,1938.548,58.09647058823541,1.411764705882353,4.0,25.666666666666668,6.416666666666667,47.645161290322584,69.48148148148148,35,0.503731343283582,1,1,1
1515,40,2141.4100000000026,135,1938.548,62.9826470588236,1.1764705882352942,5.0,10.0,2.0,46.25806451612903,75.81481481481481,14,0.18466047874938937,1,1,1
1528,66,2571.429999999991,163,1938.548,75.6302941176468,1.9411764705882353,3.0,5.666666666666667,1.888888888888889,66.6774193548387,100.62962962962963,65,0.6459330143540669,1,1,1
1548,55,2387.7399999999975,135,1938.548,70.22764705882345,1.6176470588235294,3.0,15.666666666666666,5.222222222222222,54.32258064516129,80.4074074074074,9,0.11192998618148318,1,1,1
1595,41,1941.9700000000007,102,1938.548,57.116764705882375,1.2058823529411764,4.5,8.333333333333334,1.851851851851852,39.29032258064516,57.888888888888886,25,0.43186180422264875,1,1,1
1634,31,2287.61,120,1938.548,67.28264705882353,0.9117647058823529,5.5,11.333333333333334,2.0606060606060606,57.03225806451613,76.07407407407408,19,0.24975657254138267,1,1,1
1640,54,2058.9600000000037,116,1938.548,60.55764705882364,1.588235294117647,3.0,32.0,10.666666666666666,27.93548387096774,46.22222222222222,1,0.021634615384615384,1,1,1
1673,47,2434.269999999996,140,1938.548,71.59617647058812,1.3823529411764706,4.0,13.0,3.25,52.645161290322584,76.66666666666667,0,0.0,1,1,1
1767,147,4317.439999999989,187,1938.548,126.98352941176438,4.323529411764706,1.0,5.0,5.0,81.12903225806451,115.5925925925926,45,0.3892983018263377,1,1,1
1770,150,3855.7899999999613,161,1938.548,113.40558823529298,4.411764705882353,1.0,4.0,4.0,71.29032258064517,98.74074074074075,31,0.313953488372093,1,1,1
1776,113,2769.4999999999854,133,1938.548,81.45588235294075,3.323529411764706,2.0,3.0,1.5,58.645161290322584,83.22222222222223,34,0.4085447263017356,1,1,1
1803,61,5293.289999999951,145,1938.548,155.68499999999855,1.7941176470588236,3.0,4.666666666666667,1.5555555555555556,56.935483870967744,83.25925925925925,53,0.6365658362989325,1,1,1
1828,39,3212.009999999986,131,1938.548,94.47088235294076,1.1470588235294117,4.0,17.0,4.25,46.45161290322581,69.44444444444444,0,0.0,1,1,1
1850,65,2313.9600000000005,157,1938.548,68.05764705882355,1.911764705882353,2.0,9.333333333333334,4.666666666666667,57.0,88.88888888888889,61,0.68625,1,1,1
1852,88,3586.3299999999726,176,1938.548,105.48029411764625,2.588235294117647,2.0,10.0,5.0,69.25806451612904,102.70370370370371,16,0.1557879552830869,1,1,1
1906,49,2840.409999999991,144,1938.548,83.54147058823503,1.4411764705882353,4.0,9.0,2.25,48.806451612903224,73.44444444444444,44,0.5990922844175491,1,1,1
2051,112,2765.8199999999915,128,1938.548,81.34764705882328,3.2941176470588234,1.0,78.0,78.0,43.225806451612904,67.11111111111111,0,0.0,1,1,0
2062,82,2912.8799999999906,139,1938.548,85.67294117647032,2.411764705882353,2.0,13.666666666666666,6.833333333333333,60.41935483870968,83.62962962962963,38,0.45438441098317095,1,1,1
2076,77,2968.67999999998,136,1938.548,87.31411764705823,2.264705882352941,2.5,8.0,3.2,56.03225806451613,78.25925925925925,43,0.5494557501183153,1,1,1
2079,55,2543.679999999996,117,1938.548,74.81411764705871,1.6176470588235294,3.0,33.0,11.0,41.25806451612903,59.7037037037037,12,0.20099255583126552,1,1,1
2184,74,2360.4899999999952,140,1938.548,69.42617647058809,2.176470588235294,3.0,9.0,3.0,43.70967741935484,72.85185185185185,21,0.28825622775800713,1,1,1
2208,64,4609.639999999948,153,1938.548,135.57764705882198,1.8823529411764706,3.0,6.666666666666667,2.2222222222222223,73.45161290322581,100.48148148148148,28,0.27865831183192036,1,1,1
2260,37,2592.359999999992,110,1938.548,76.24588235294094,1.088235294117647,6.0,9.333333333333334,1.5555555555555556,36.74193548387097,56.25925925925926,32,0.5687952600394997,1,1,1
2277,49,2044.370000000001,117,1938.548,60.12852941176474,1.4411764705882353,3.0,9.0,3.0,31.322580645161292,50.55555555555556,23,0.45494505494505494,1,1,1
2294,62,5579.779999999959,152,1938.548,164.11117647058703,1.8235294117647058,2.0,9.0,4.5,73.45161290322581,106.18518518518519,40,0.3767003836763167,1,1,1
2301,48,2087.910000000002,107,1938.548,61.409117647058885,1.411764705882353,3.0,6.333333333333333,2.111111111111111,36.45161290322581,59.18518518518518,16,0.27033792240300375,1,1,1
2314,32,2108.200000000001,110,1938.548,62.005882352941214,0.9411764705882353,6.0,10.0,1.6666666666666667,41.903225806451616,60.370370370370374,39,0.6460122699386502,1,1,1
2318,115,6078.059999999958,163,1938.548,178.76647058823406,3.3823529411764706,1.0,5.0,5.0,70.19354838709677,97.62962962962963,31,0.3175265553869499,1,1,1
2425,45,2070.490000000002,126,1938.548,60.89676470588241,1.3235294117647058,4.5,36.333333333333336,8.074074074074074,37.67741935483871,63.74074074074074,13,0.20395119116792562,1,1,1
2484,40,2340.62,127,1938.548,68.84176470588235,1.1764705882352942,5.0,11.333333333333334,2.2666666666666666,51.03225806451613,73.51851851851852,8,0.10881612090680101,1,1,1
