WEEK_NO,households,avg_any_feature_exposure,avg_feature_mailer_exposure,avg_display_exposure,avg_both_exposure,avg_coupon_mailer_exposure,avg_free_mailer_exposure
47,1099,0.2935409795836387,0.22229326777766656,0.11124048234207866,0.03999277053610603,0.0,0.0
48,1099,0.19301408763830696,0.10348986423019868,0.12341607373307617,0.03389185032496785,0.0,0.0
49,1099,0.24763545544824886,0.16347957611941524,0.11674762043120124,0.03259174110236732,0.0,0.0
50,1099,0.23109812734778146,0.13903585690317646,0.13766487209544495,0.045602601650839646,0.0,0.00047404623902395985
51,1099,0.28335106250754544,0.20447952575110565,0.13458860768799413,0.055717070931553966,0.0,0.0
52,1099,0.22319993575381006,0.13342616847331437,0.1391471312907213,0.04937336401022544,0.0,0.0
53,1099,0.2399235504452489,0.1437674114410064,0.12183120894912831,0.025675069944885973,0.013902339973003958,0.0036701612809930707
54,1099,0.21546962555402116,0.1400729596533247,0.1253491337677981,0.04995246786710186,0.0,9.099181073703367e-05
55,1099,0.2549905261234593,0.1720635068484861,0.12555251143211482,0.04262549215714117,0.0,0.001888309647892449
56,1099,0.2167223815240385,0.14892455875798913,0.13065510123411253,0.06285727846806335,0.0,0.0
57,1099,0.27726805397384374,0.20725702697815548,0.1289828984841653,0.058971871488476955,0.0,0.0
58,1099,0.24818902381929273,0.1707661685233602,0.12880363735907346,0.051380782063140736,0.0,0.0009881043897515087
59,1099,0.22680452111629082,0.14205542198444135,0.11848315701817581,0.03373405788632619,0.0,0.0
60,1099,0.25151129882332435,0.16106207805639297,0.12174556610565797,0.03129634533872626,0.0,0.0
61,1099,0.24646464929829612,0.16298749430952986,0.11599139810918957,0.032514243120423184,0.0,0.0
62,1099,0.1925233735036131,0.1162497462180502,0.11741153687643784,0.041137909590874766,0.0,0.0
63,1099,0.3250078330998655,0.26519405216768294,0.11400051500402553,0.054186734071842775,0.0,0.0
64,1099,0.23936732163863364,0.15874037277319514,0.12413374816994066,0.043506799304502235,0.0,0.0
65,1099,0.2238731615712005,0.14203754922054107,0.10780644438573024,0.025970832035070678,0.0,0.0
66,1099,0.3025293759474543,0.22892036404100424,0.12092658828495367,0.04731757637850284,0.0,0.06813657036342048
67,1099,0.2203814561538048,0.14410635053076115,0.12589429139295655,0.04961918576991307,0.0,3.990868891975161e-05
68,1099,0.3374060597637525,0.29555624281629606,0.11543297344686386,0.07358315649940758,0.0,3.990868891975161e-05
69,1099,0.19790505896299243,0.10537740463374778,0.1261151120560305,0.033587457726785945,0.0,0.0
70,1099,0.22676852787388468,0.14136488016813747,0.11701423450576423,0.03161058680001685,0.0,0.0
71,1099,0.21692372836150478,0.144982627644383,0.11855747008022224,0.046616369363100665,0.02069443570339613,0.000288818636678981
72,1099,0.23928926759817506,0.138589614920127,0.12696320146335938,0.02626354878531132,0.0,0.0
73,1099,0.2507326763089902,0.16708822321881808,0.11743191963473441,0.0337874665445619,0.0,0.0
74,1099,0.29533897972227996,0.21739101482329365,0.1196396696412907,0.0416917047423037,0.0,0.0
75,1099,0.22744385585875568,0.1432431102028379,0.11418911560207261,0.029988369946154347,0.0033957753598609585,0.0
76,1099,0.22635417574396818,0.1629191551256639,0.1119336802657164,0.04849865964741204,0.0,0.0
