household_key,is_candidate_analysis,is_primary_analysis,is_primary_eligible1_analysis,is_primary_all_weeks_analysis,is_primary_no_history_filter_analysis,is_home70_analysis,first_observed_week,baseline_baskets,n_baseline_purchase_weeks,baseline_weekly_visit_rate,home_store_id,baseline_home_store_share,outcome_home_store_share,n_eligible_products,n_eligible_products_all_weeks,n_repeated_products_no_history_filter,original_top20_baskets,eligible_original_top20_baskets,excluded_weight_share
1377,1,0,1,0,1,0,1,12,8,0.3076923076923077,306,0.9166666666666666,0.17391304347826086,3,3,7,29,6,0.7931034482758621
1378,1,1,1,1,1,0,6,29,17,0.8095238095238095,381,0.5862068965517241,0.7472527472527473,20,20,20,172,164,0.046511627906976716
1379,1,1,1,1,1,1,12,63,15,1.0,330,0.9841269841269841,0.995475113122172,20,20,20,155,116,0.25161290322580643
1381,1,0,0,0,0,0,17,12,5,0.5,334,0.6666666666666666,0.0,2,2,2,17,6,0.6470588235294117
1382,1,1,1,1,1,1,4,32,17,0.7391304347826086,288,0.96875,1.0,20,20,20,77,58,0.24675324675324672
1383,1,1,1,1,1,1,13,26,12,0.8571428571428571,439,0.9615384615384616,0.7843137254901961,5,6,7,37,15,0.5945945945945945
1385,1,1,1,1,1,1,9,41,16,0.8888888888888888,337,0.9512195121951219,0.9014084507042254,20,20,20,129,96,0.2558139534883721
1387,1,1,1,1,1,0,6,15,11,0.5238095238095238,289,0.6,0.9803921568627451,9,11,13,60,38,0.3666666666666667
1388,1,1,1,1,1,1,3,53,19,0.7916666666666666,375,0.9811320754716981,0.5729166666666666,20,20,20,130,89,0.3153846153846154
1389,1,0,0,0,0,0,17,8,6,0.6,368,1.0,1.0,10,14,17,40,22,0.44999999999999996
1391,1,1,1,1,1,1,4,36,18,0.782608695652174,310,0.8333333333333334,0.8625954198473282,20,20,20,84,47,0.44047619047619047
1392,1,1,1,1,1,1,11,30,14,0.875,445,0.7666666666666667,0.6582278481012658,14,20,20,60,39,0.35
1393,1,1,1,1,1,0,9,30,17,0.9444444444444444,317,0.5666666666666667,0.6395348837209303,20,20,20,99,70,0.29292929292929293
1394,1,0,0,0,0,0,18,17,7,0.7777777777777778,442,0.8823529411764706,0.9473684210526315,14,20,20,50,25,0.5
1396,1,1,1,1,1,1,9,56,17,0.9444444444444444,441,0.7857142857142857,0.7341040462427746,20,20,20,96,77,0.19791666666666663
1397,1,0,0,0,0,0,15,39,12,1.0,441,0.41025641025641024,0.43388429752066116,20,20,20,116,72,0.3793103448275862
1399,1,0,0,0,0,0,17,7,5,0.5,359,0.7142857142857143,0.36,2,7,7,30,4,0.8666666666666667
1402,1,1,1,1,1,1,9,27,16,0.8888888888888888,298,1.0,0.9117647058823529,16,19,20,58,36,0.3793103448275862
1403,1,1,1,1,1,1,11,42,15,0.9375,406,0.9523809523809523,0.9724770642201835,8,8,17,69,23,0.6666666666666667
1404,1,1,1,1,1,1,9,10,9,0.5,389,0.7,0.8787878787878788,16,18,20,54,34,0.37037037037037035
1405,1,1,1,1,1,1,10,17,9,0.5294117647058824,296,0.7058823529411765,0.16216216216216217,8,9,12,33,17,0.48484848484848486
1406,1,1,1,1,1,1,12,22,9,0.6,327,0.9545454545454546,0.8461538461538461,7,8,10,31,14,0.5483870967741935
1408,1,1,1,1,1,1,13,12,11,0.7857142857142857,324,1.0,0.9111111111111111,15,17,18,55,45,0.18181818181818177
1410,1,1,1,1,1,0,6,29,13,0.6190476190476191,31582,0.5172413793103449,0.8125,20,20,20,60,50,0.16666666666666663
1417,1,0,0,0,0,0,11,6,4,0.25,408,0.8333333333333334,0.9852941176470589,1,1,1,21,2,0.9047619047619048
1418,1,1,1,1,1,0,8,19,15,0.7894736842105263,402,0.5263157894736842,0.5862068965517241,10,11,20,56,26,0.5357142857142857
1419,1,1,1,1,1,0,10,116,17,1.0,32004,0.6551724137931034,0.369727047146402,20,20,20,143,67,0.5314685314685315
1420,1,1,1,1,1,1,7,24,14,0.7,391,0.9166666666666666,0.07407407407407407,20,20,20,63,57,0.09523809523809523
1421,1,1,1,1,1,0,3,44,21,0.875,31742,0.5,0.45348837209302323,20,20,20,107,82,0.23364485981308414
1423,1,1,1,1,1,1,16,53,11,1.0,408,0.9811320754716981,0.9407407407407408,9,11,13,55,35,0.36363636363636365
1424,1,0,0,0,0,0,18,8,6,0.6666666666666666,436,0.875,0.8979591836734694,3,3,3,23,6,0.7391304347826086
1425,1,1,1,1,1,1,16,17,8,0.7272727272727273,339,1.0,0.9,20,20,20,76,61,0.19736842105263153
1426,1,1,1,1,1,1,2,34,20,0.8,358,0.8235294117647058,0.8064516129032258,20,20,20,108,80,0.2592592592592593
1427,1,1,1,1,1,1,8,14,9,0.47368421052631576,448,0.7142857142857143,0.3880597014925373,11,11,14,40,28,0.30000000000000004
1428,1,0,0,0,0,0,14,6,5,0.38461538461538464,422,0.5,0.6687898089171974,6,6,7,29,14,0.5172413793103448
1429,1,1,1,1,1,1,17,12,8,0.8,445,1.0,0.9710144927536232,7,8,9,36,21,0.41666666666666663
1430,1,1,1,1,1,0,12,57,15,1.0,358,0.5263157894736842,0.4574468085106383,20,20,20,174,52,0.7011494252873562
1431,1,1,1,1,1,0,16,22,10,0.9090909090909091,381,0.5909090909090909,0.7022900763358778,7,10,15,51,15,0.7058823529411764
1434,1,1,1,1,1,1,16,20,8,0.7272727272727273,296,1.0,0.601010101010101,6,10,13,35,14,0.6
1437,1,1,1,1,1,0,4,31,19,0.8260869565217391,443,0.6774193548387096,0.6764705882352942,20,20,20,91,56,0.3846153846153846
1440,1,1,1,1,1,0,14,17,10,0.7692307692307693,31742,0.5882352941176471,0.3048780487804878,6,7,8,31,13,0.5806451612903225
1441,1,0,0,0,0,0,4,7,6,0.2608695652173913,334,0.7142857142857143,0.8333333333333334,7,8,9,33,17,0.48484848484848486
1443,1,1,1,1,1,1,13,48,14,1.0,367,1.0,0.9846153846153847,17,20,20,86,64,0.2558139534883721
1447,1,0,1,0,0,0,6,10,9,0.42857142857142855,286,1.0,0.3103448275862069,2,3,3,21,6,0.7142857142857143
1448,1,0,0,0,0,0,15,8,6,0.5,361,1.0,0.9861111111111112,7,8,10,34,18,0.47058823529411764
1449,1,0,0,0,0,0,16,9,6,0.5454545454545454,422,1.0,0.6,1,1,2,17,2,0.8823529411764706
1450,1,1,1,1,1,0,14,22,8,0.6153846153846154,313,0.5909090909090909,0.4925373134328358,9,9,13,42,25,0.40476190476190477
1451,1,0,0,0,0,0,17,23,8,0.8,432,0.4782608695652174,0.6781115879828327,8,8,11,37,21,0.43243243243243246
1452,1,1,1,1,1,1,8,57,19,1.0,339,0.7368421052631579,0.6971608832807571,5,9,18,76,25,0.6710526315789473
1453,1,1,1,1,1,1,15,29,11,0.9166666666666666,31862,0.9310344827586207,0.9335180055401662,20,20,20,93,47,0.4946236559139785
1455,1,0,0,0,0,0,3,8,7,0.2916666666666667,341,1.0,1.0,2,2,3,27,4,0.8518518518518519
