household_key,first_day,category_diversity,department_diversity,initial_baskets,initial_active_days,initial_sales,followup_baskets,followup_active_days,followup_sales,returned,z_category_diversity,z_initial_baskets,z_initial_sales,z_first_day,diversity_group
101,116,10,3,4,3,82.29,14,10,421.4599999999999,1,-0.8677251003640094,-0.12120501231222784,-0.145843121021545,1.3509500647990698,Q1
102,48,8,4,1,1,25.17,5,5,217.39,1,-0.9601113997402597,-1.434030658435868,-1.1279827187440414,-0.475350601947963,Q1
103,91,7,4,1,1,14.37,7,4,54.83000000000001,1,-1.0063045494283849,-1.434030658435868,-1.5794677750831634,0.6795159961420724,Q1
104,112,22,4,4,4,77.82000000000002,3,3,10.48,1,-0.31340730410650747,-0.12120501231222784,-0.19263919954561545,1.2435206138139503,Q2
105,8,38,6,2,2,159.08,12,10,333.47,1,0.42568309090349515,-0.8530960554590038,0.40841791185041215,-1.5496451117991588,Q3
106,98,25,8,3,3,120.23999999999998,5,4,146.81,1,-0.17482785504213197,-0.44091639511014435,0.17266191360028574,0.8675175353660317,Q2
107,66,48,8,9,8,476.44,11,9,285.21999999999997,1,0.8876145877847468,0.8719092510134965,1.3354576363085175,0.008081927485075049,Q4
108,84,17,4,4,4,100.92000000000003,3,3,189.5,1,-0.5443730525471333,-0.12120501231222784,0.025403205222353856,0.49151445691811313,Q2
109,115,38,7,2,2,170.19000000000003,7,7,351.5799999999999,1,0.42568309090349515,-0.8530960554590038,0.4653420544507343,1.32409270205279,Q3
110,67,19,6,7,7,68.76,24,20,504.94000000000005,1,-0.45198675317088294,0.5521978682155793,-0.29622700231543314,0.03493929023135494,Q2
111,13,46,10,3,3,165.0699999999999,0,0,0.0,0,0.7952282884084965,-0.44091639511014435,0.43958239410446065,-1.4153582980677593,Q4
112,42,4,2,1,1,16.26,6,5,95.5,1,-1.1448839984927603,-1.434030658435868,-1.481081898228127,-0.6364947784256424,Q1
113,96,105,12,10,8,892.1700000000004,24,21,1730.2400000000007,1,3.5206241200078807,1.0084659617071041,1.8668076633823416,0.8138028098734719,Q4
114,7,36,7,6,6,233.47000000000008,16,15,431.29999999999995,1,0.3332967915272448,0.3608792935514903,0.7321914973295038,-1.5765024745454388,Q3
115,39,54,9,7,6,438.06,9,9,656.0199999999999,1,1.1647734859134977,0.5521978682155793,1.2643644134695395,-0.717066866664482,Q4
116,45,9,4,3,3,42.09,6,6,48.730000000000004,1,-0.9139182500521346,-0.44091639511014435,-0.7049332175895691,-0.5559226901868027,Q1
117,30,38,7,3,3,80.69,8,8,146.15,1,0.42568309090349515,-0.44091639511014435,-0.16229835036944604,-0.9587831313810011,Q3
118,101,51,9,8,7,288.8300000000002,9,7,394.68999999999994,1,1.0261940368491222,0.7209528108435844,0.9120121978086658,0.9480896236048714,Q4
119,60,21,5,1,1,113.95999999999997,0,0,0.0,0,-0.3596004537946326,-1.434030658435868,0.12754038993314,-0.15306224899260432,Q2
120,52,4,4,3,3,18.84,3,3,48.7,1,-1.1448839984927603,-0.44091639511014435,-1.362900533942441,-0.36792115096284345,Q1
121,114,26,6,9,7,85.06000000000002,6,5,198.34000000000003,1,-0.1286347053540068,0.8719092510134965,-0.11808852291184108,1.29723533930651,Q3
122,3,51,9,26,21,348.46000000000026,25,21,605.3100000000002,1,1.0261940368491222,2.295001677146172,1.0707326194215603,-1.6839319255305583,Q4
