PRODUCT_ID,STORE_ID,comparison,reference_state,comparison_state,reference_weeks,comparison_weeks,min_state_weeks,reference_spv,comparison_spv,reference_bpr,comparison_bpr,reference_basket_share,comparison_basket_share,reference_category_share,comparison_category_share,spv_difference,bpr_difference,basket_share_difference,category_share_difference,is_positive_spv,is_positive_bpr
822407,389,both_vs_additive,display+mailer-none,both,2,6,2,-0.013708513708513708,0.011111111111111112,-0.01875901875901876,0.011111111111111112,-0.011515151515151516,0.009259259259259259,-0.002719502719502727,0.02386634844868735,0.024819624819624818,0.029870129870129873,0.020774410774410775,0.026585851168190077,1,1
822407,401,both_vs_additive,display+mailer-none,both,4,7,4,0.00796442687747037,0.03707482993197279,0.02441699604743083,0.023809523809523808,0.017310198761811668,0.015151515151515152,0.0033930253298931345,0.047177665193894984,0.029110403054502416,-0.0006074722379070217,-0.0021586836102965162,0.04378463986400185,1,0
822407,402,both_vs_additive,display+mailer-none,both,5,5,5,0.13450469608364346,0.0,0.062021974127237284,0.0,0.04404651952478039,0.0,0.5127527492085177,0.0,-0.13450469608364346,-0.062021974127237284,-0.04404651952478039,-0.5127527492085177,0,0
822407,406,both_vs_additive,display+mailer-none,both,9,4,4,0.014814814814814814,0.019230769230769232,0.008950617283950616,0.009615384615384616,0.004388503086419753,0.004464285714285714,0.042904950759181555,0.016170763260025874,0.004415954415954418,0.0006647673314340002,7.578262786596141e-05,-0.02673418749915568,1,1
822407,408,both_vs_additive,display+mailer-none,both,7,6,6,0.0942054157963249,0.18346930846930845,0.033709850755305304,0.06963869463869464,0.013228702506328897,0.03836529982363315,0.23517827962088234,0.22149507741537197,0.08926389267298356,0.035928843883389336,0.025136597317304256,-0.013683202205510364,1,1
822407,410,both_vs_additive,display+mailer-none,both,1,8,1,0.06545602750588901,0.03943903318903319,0.019465814271908456,0.033757215007215007,0.009345184006566054,0.01650844924511507,0.22528969732799164,0.12561263011802698,-0.02601699431685582,0.014291400735306551,0.007163265238549014,-0.09967706720996466,0,1
822407,421,both_vs_additive,display+mailer-none,both,7,7,7,0.0657917687992876,0.09489104843795919,0.025926002429761827,0.03768380107052876,0.017413368743155976,0.02002467653728158,0.12563411379261769,0.12928048947349874,0.029099279638671594,0.011757798640766932,0.0026113077941256023,0.0036463756808810532,1,1
822407,424,both_vs_additive,display+mailer-none,both,3,6,3,-0.0016816651362105903,0.021037296037296038,-0.010870173597446325,0.020396270396270396,-0.010241486670308546,0.01555104800540906,-0.004712986787822428,0.035828124096813345,0.02271896117350663,0.031266443993716725,0.025792534675717606,0.04054111088463577,1,1
822407,427,both_vs_additive,display+mailer-none,both,1,10,1,0.11414604300720455,0.11851826387137679,0.03497516842077533,0.0443296561141586,0.02549479690792044,0.026808697184081565,0.14160867534853797,0.15892819880134162,0.004372220864172244,0.009354487693383269,0.001313900276161125,0.01731952345280366,1,1
822407,432,both_vs_additive,display+mailer-none,both,6,10,6,0.04001968061178588,0.07352941176470588,0.022283700704753332,0.030882352941176472,0.009988650702284541,0.016127946127946127,0.02415316966725807,0.13426102629346903,0.033509731152920004,0.00859865223642314,0.006139295425661585,0.11010785662621096,1,1
