household_key,comparison,preferred_products,total_preference_weight,profiled_products,profiled_weight,multistore_profiled_products,multistore_profiled_weight,sales_positive_weight,penetration_positive_weight,any_positive_weight,joint_positive_weight,home_store_profiled_products,home_store_profiled_weight,home_store_sales_positive_weight,home_store_penetration_positive_weight,weighted_median_spv_difference,weighted_median_bpr_difference
1091,both_vs_additive,14,1.0000000000000002,3,0.2777777777777778,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1091,both_vs_none,14,1.0000000000000002,3,0.2777777777777778,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1091,display_only_vs_none,14,1.0,4,0.36111111111111105,1,0.08333333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.06157950872656754,-0.015847877612583494
1091,mailer_only_vs_none,14,1.0000000000000002,3,0.2777777777777778,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1096,both_vs_additive,13,0.9999999999999998,2,0.09302325581395349,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1096,both_vs_none,13,0.9999999999999998,2,0.09302325581395349,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1096,display_only_vs_none,13,0.9999999999999998,2,0.09302325581395349,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1096,mailer_only_vs_none,13,0.9999999999999998,3,0.13953488372093023,1,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0,0.0,0.0,0.0,0.01003608869183632,0.020952216853171706
1097,both_vs_additive,20,0.9999999999999998,2,0.10144927536231885,0,0.0,0.0,0.0,0.0,0.0,1,0.043478260869565216,0.043478260869565216,0.043478260869565216,,
1097,both_vs_none,20,0.9999999999999998,2,0.10144927536231885,0,0.0,0.0,0.0,0.0,0.0,1,0.043478260869565216,0.043478260869565216,0.043478260869565216,,
1097,display_only_vs_none,20,0.9999999999999998,2,0.10144927536231885,0,0.0,0.0,0.0,0.0,0.0,1,0.043478260869565216,0.043478260869565216,0.043478260869565216,,
1097,mailer_only_vs_none,20,0.9999999999999998,4,0.2318840579710145,1,0.043478260869565216,0.0,0.0,0.0,0.0,1,0.043478260869565216,0.043478260869565216,0.043478260869565216,-0.0029679487179487193,-0.0003205128205128211
1098,both_vs_additive,20,1.0000000000000002,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1098,both_vs_none,20,1.0000000000000002,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1098,display_only_vs_none,20,1.0000000000000002,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1098,mailer_only_vs_none,20,1.0000000000000002,1,0.09166666666666666,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1099,both_vs_additive,10,1.0,2,0.20588235294117646,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1099,both_vs_none,10,1.0,2,0.20588235294117646,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1099,display_only_vs_none,10,1.0,2,0.20588235294117646,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
