household_key,sales,baskets,active_weeks,products,category_diversity,first_day,last_day,discount_amount,avg_basket_value
242,5231.800000000002,87,62,946,161,74,711,724.5899999999998,60.13563218390807
243,8074.120000000006,250,89,1078,188,59,710,847.4799999999998,32.296480000000024
244,1698.9500000000003,41,39,422,91,49,677,251.78,41.43780487804879
245,1396.4499999999998,48,39,310,84,5,684,402.62999999999994,29.09270833333333
246,847.25,47,38,238,89,30,692,141.85999999999999,18.02659574468085
247,1243.06,59,35,321,102,74,704,167.75999999999996,21.068813559322034
248,6039.010000000004,57,41,1514,166,29,704,2136.07,105.94754385964919
249,2823.230000000001,137,69,589,142,79,704,544.3499999999999,20.60751824817519
250,5991.840000000004,121,81,521,123,108,706,802.8399999999998,49.51933884297524
251,2268.51,83,54,546,126,26,703,481.5199999999999,27.331445783132533
252,93.78,9,9,27,15,112,665,8.469999999999999,10.42
253,10993.710000000012,385,92,1746,174,19,710,3333.4100000000003,28.55509090909094
254,442.13999999999993,43,37,146,66,17,708,69.64999999999999,10.282325581395348
255,672.09,18,17,141,58,2,697,158.64000000000001,37.33833333333334
256,9850.350000000011,125,82,918,161,33,711,1153.3099999999997,78.80280000000009
257,2689.9900000000002,122,63,574,117,57,698,690.6299999999999,22.04909836065574
258,2631.1100000000006,211,84,962,156,43,710,721.8699999999999,12.46971563981043
259,1158.3300000000002,54,42,193,87,11,694,119.55,21.450555555555557
260,425.03999999999996,30,25,156,73,112,699,51.25,14.168
261,1241.8700000000001,44,28,216,84,108,650,124.35999999999997,28.224318181818184
262,4802.270000000002,218,69,931,160,100,697,810.7900000000004,22.028761467889918
263,5870.330000000002,325,88,815,153,95,708,1086.33,18.06255384615385
264,1783.0700000000002,61,51,439,87,56,680,375.75,29.23065573770492
265,1881.7599999999998,53,34,485,134,115,710,427.6,35.504905660377354
266,3130.2200000000007,59,45,505,109,79,697,441.6,53.054576271186455
267,385.56,26,22,37,22,46,675,37.45000000000001,14.829230769230769
268,809.2099999999999,30,19,289,94,109,676,206.52999999999997,26.973666666666663
269,1764.76,84,46,263,100,99,707,260.74,21.009047619047617
270,923.46,41,27,178,78,103,708,277.46,22.52341463414634
271,1375.52,98,59,224,93,2,704,247.77,14.03591836734694
272,401.62000000000006,7,7,123,62,79,457,75.57000000000001,57.374285714285726
273,2500.86,127,63,500,132,17,710,292.8200000000001,19.691811023622048
274,120.07,15,12,65,33,77,674,14.689999999999998,8.004666666666667
275,6284.9900000000025,321,87,708,134,100,711,1159.92,19.579408099688482
276,5758.710000000001,173,74,836,154,75,709,1227.8400000000001,33.28734104046244
277,754.05,31,21,175,62,36,694,260.49000000000007,24.324193548387097
278,2053.56,84,58,450,108,45,706,361.26,24.447142857142858
279,1816.62,53,35,358,118,77,655,422.22999999999996,34.275849056603775
280,2375.8600000000006,105,66,399,113,11,708,625.07,22.627238095238102
281,1495.08,79,62,264,86,17,706,398.41999999999996,18.92506329113924
282,4162.560000000003,110,71,722,152,61,711,604.6,37.841454545454575
283,6023.370000000004,78,57,1089,170,40,700,955.8099999999997,77.22269230769237
284,534.98,21,17,144,62,95,705,64.56999999999998,25.475238095238097
285,4227.640000000002,202,85,816,133,76,710,939.5799999999998,20.92891089108912
286,1245.2399999999998,41,32,194,88,65,711,130.54000000000002,30.371707317073167
287,3229.2800000000007,271,95,797,152,6,709,513.76,11.916162361623618
288,3114.7700000000013,92,58,623,144,108,709,326.51000000000005,33.85619565217393
289,5970.470000000001,183,71,830,153,114,698,611.5500000000001,32.62551912568307
290,5524.340000000002,290,74,907,142,82,710,1084.55,19.049448275862076
291,2474.4900000000007,61,35,510,108,105,688,499.55999999999995,40.565409836065584
292,977.0700000000002,83,46,282,102,115,704,218.77,11.771927710843375
293,3957.660000000002,108,61,775,153,3,694,742.25,36.64500000000002
294,5411.360000000003,269,96,1025,151,6,710,1573.2699999999998,20.11657992565057
295,149.31,5,5,40,23,81,711,84.78,29.862000000000002
296,149.25,12,9,35,30,107,697,15.110000000000003,12.4375
297,3535.6200000000017,114,55,751,149,79,698,638.3000000000001,31.014210526315804
298,224.86,7,4,109,56,60,292,52.25,32.12285714285714
299,242.24000000000004,11,11,25,13,108,710,11.24,22.021818181818187
300,4974.310000000001,107,58,990,149,69,685,901.17,46.48887850467291
301,7211.680000000005,81,60,1273,163,26,711,1216.94,89.03308641975315
302,1797.53,95,58,403,116,98,691,224.35,18.92136842105263
303,4879.670000000002,199,77,956,156,115,711,1302.4099999999996,24.520954773869356
304,8586.280000000002,304,98,1711,187,2,711,1792.5900000000001,28.244342105263165
305,3827.020000000001,141,77,489,134,30,709,661.63,27.141985815602844
306,5716.730000000001,185,76,1131,166,100,711,2026.3,30.90124324324325
307,2582.030000000001,415,97,336,71,36,710,542.86,6.221759036144581
308,2465.260000000001,83,50,463,135,14,710,228.49999999999997,29.701927710843385
309,2325.59,22,21,292,77,33,624,471.89,105.70863636363637
310,184.01999999999998,9,4,48,31,79,706,24.650000000000002,20.446666666666665
311,1351.13,51,36,337,120,27,709,150.9,26.49274509803922
312,2578.050000000001,40,36,555,146,88,696,470.08000000000004,64.45125000000003
313,92.54000000000002,4,2,37,26,51,86,17.33,23.135000000000005
314,3004.0099999999998,41,31,556,126,11,707,462.75,73.26853658536585
315,182.19,11,10,54,35,3,627,33.1,16.562727272727273
